Team,Wins Above Bubble,Seed_Power,Wins,Adjusted Offensive Efficiency,Bartag Score,Games Played,Effective Field Goal Percentage,2 Point Percentage,2 Point Percentage Defense,Effective Field Goal Percentage Defense,Adjusted Defensive Efficiency
Duke,13.7,16,32,128.2,0.9813,34,56.8,60.1,46.6,46.2,90.8
Michigan,14,16,31,127.6,0.9799,34,58.1,61,44.3,44.7,91
Arizona,13.7,16,32,126.9,0.9776,34,55.1,55.4,43.8,45,91.4
Florida,8.5,16,26,126.1,0.9732,33,53.5,57.9,45.2,46.3,92.3
Houston,9,15,28,125.4,0.9709,34,52.1,51.9,45.5,46.6,92.4
Iowa St.,7.4,15,27,123.8,0.9655,34,56.5,55.5,50.5,49.5,92.6
Purdue,9.2,15,27,133.3,0.9636,35,57.6,58.1,53.1,52.3,100.3
Connecticut,8.8,15,29,123.1,0.9518,34,55.3,57.1,45.8,45.7,95
Illinois,6.6,14,24,131.9,0.9676,32,55.1,58.2,48,47.6,98.2
Gonzaga,7.4,14,30,120.3,0.9445,33,56.3,58.7,46.2,46.2,94
Michigan St.,7.4,14,25,122.9,0.9437,32,53.6,53.4,48,48.6,96.2
Virginia,7.8,14,29,122.3,0.9427,34,54.6,55.2,44.7,45.3,95.8
Alabama,6.6,13,23,129.5,0.9344,32,55.4,57.3,48.6,49.2,102.8
Arkansas,7.5,13,26,127.9,0.9337,34,56.5,55.6,53.7,51.4,101.7
Nebraska,7.5,13,26,117.2,0.931,32,55.4,58.1,50.6,47.8,93.5
Kansas,6.3,13,23,117.8,0.9279,33,51.6,51.1,44.7,45.2,94.4
Vanderbilt,7.3,12,26,127.5,0.9461,34,55.3,56.8,49.1,48.8,99.3
Texas Tech,5.1,12,22,126.3,0.9439,32,56.2,53.6,50.6,49.4,98.8
St. John's,7.3,12,28,119.8,0.9415,34,51,51.6,47.5,47.4,94.1
Wisconsin,5.4,12,24,127.2,0.9294,34,54.5,54.8,52.3,51.3,101.6
Tennessee,4.1,11,22,121.5,0.9408,33,51.6,52.2,49.2,47.7,95.5
Louisville,4,11,23,124,0.9364,33,56.4,59.7,48.6,48.8,98.2
North Carolina,4.9,11,24,121.4,0.903,32,54.6,56.7,46.1,48.2,100
BYU,4.5,11,23,124.7,0.8865,34,54.7,56.2,50,51.2,104.3
UCLA,3.6,10,23,124.5,0.9106,34,53.9,52,52.7,50.4,101.8
Saint Mary's,4,10,27,119.4,0.9105,32,52.9,50.2,46.6,46.7,97.6
Kentucky,3.3,10,21,119.9,0.89,34,53.1,54.4,49.6,48.8,100
Miami FL,3.9,10,25,121.1,0.8843,33,55.6,57.2,50.8,51.7,101.5
Ohio St.,2.9,9,21,125.2,0.9171,33,56.5,58.2,52.3,50.3,101.6
Clemson,3.2,9,24,116.6,0.8923,34,52.6,53.8,49,48.9,97
Villanova,3.9,9,24,119.6,0.8805,32,53.7,54.4,51.5,51.3,100.5
Georgia,2.6,9,22,124.3,0.8776,32,54.6,57.3,49.9,50.1,104.8
Iowa,2,8,21,122.1,0.9069,33,56.6,58.7,54,52.7,100.2
Utah St.,4,8,28,123,0.8953,34,56.6,59.3,48.7,49.6,102.1
Saint Louis,1.9,8,28,119.5,0.8579,33,59.7,58.9,44.6,44.8,102.2
VCU,1.7,8,27,119.3,0.843,34,54.1,53.3,48.4,48.9,103.1
Santa Clara,2.1,7,26,125,0.8952,34,54.6,56.5,53.2,51.8,103.7
Texas A&M,1.6,7,21,119.9,0.8726,32,54.2,54.1,53.1,50.8,101.4
Texas,-0.21,7,18,124,0.8538,32,54.2,55.3,49.8,51.2,106.4
UCF,2.1,7,21,120,0.8117,32,52.8,52.1,53.2,52.4,105.7
N.C. State,0.34,6,20,124.1,0.8763,33,55.3,53.1,52.7,53,104.7
SMU,-0.02,6,20,123,0.8611,33,55.7,55.5,52,51.4,105
San Diego St.,-0.09,6,22,112.2,0.8556,33,52.7,53.2,46.2,48.2,96.1
Baylor,-2.2,6,16,123.4,0.8435,32,53.8,55.2,52.2,52.5,106.6
TCU,2.4,6,22,114.9,0.8366,33,50.9,51.6,51.3,51,99.6
South Florida,-0.25,6,25,116.8,0.8353,33,50.9,51.9,46.7,48.4,101.4
Miami OH,2.5,6,31,116.7,0.7177,32,59.2,61.5,51.6,50.8,107.6
Northern Iowa,-5.3,5,23,109.7,0.7745,35,54.2,55.3,50,47.2,98.6
Akron,-0.2,5,29,117.2,0.7726,34,58.5,59.1,49,50.6,105.4
McNeese St.,0.7,5,28,113.2,0.7644,33,51,52.9,49.1,48.9,102.2
High Point,-1.4,5,30,115.7,0.6991,34,54.7,57.1,51.6,50.1,107.5
Hofstra,-4.7,4,24,113.2,0.7049,34,51.5,48.6,44.2,45.9,104.9
Cal Baptist,-2.3,4,25,107.5,0.6889,33,48.6,47.7,47.3,46.4,100.3
Hawaii,-3.7,4,24,106.9,0.6355,32,52,55,46.6,46.4,101.8
Troy,-6.1,4,22,110.7,0.5437,33,51.9,53.7,52,50.1,109
North Dakota St.,-3.4,3,27,111.4,0.6392,34,53.4,53.2,52.6,51.5,106
Wright St.,-6.6,3,23,112.4,0.5864,34,54.4,54.5,52.9,52.1,109
Kennesaw St.,-8,3,21,110.8,0.5338,34,50.7,50.8,47,48.5,109.5
Penn,-6,3,18,106.6,0.5315,29,50.3,46.2,54.4,51.7,105.4
Idaho,-8.9,2,21,108.8,0.5703,35,51.9,52,49.3,50.3,106.2
Furman,-8.7,2,22,106.9,0.4442,34,54.8,59,50.9,50.1,109
Queens,-7,2,21,114.7,0.4397,34,56.6,59,54.1,54,117.1
Tennessee St.,-5.7,2,23,107.8,0.3944,32,50.1,49.9,51.8,51.2,111.9
UMBC,-5.1,1,24,107.6,0.456,32,53.9,54,49.7,49.2,109.2
Siena,-7.8,1,23,107.2,0.4549,34,50.6,52.8,48.2,48.6,108.9
Howard,-6.9,1,23,103.5,0.4246,33,50.6,49.9,48.3,47.4,106.2
LIU,-5.8,1,24,103.6,0.3407,34,53.3,52.9,50.8,49.8,109.8
Prairie View A&M,-12.6,1,18,101.4,0.2544,35,47.9,47,49.4,50.4,111.4
Lehigh,-12,1,18,102.6,0.2517,34,53.3,52.4,51.2,50.6,112.8
